PLAYER_ID,PLAYER_NAME,AGE,POSS,GP,MIN,season,position,three_pt_fgm_75,three_pt_fga_75,fg3m_uncontested_75,fg3a_uncontested_75,fg3m_spotup_75,fg3m_movement_75,fg3m_onball_75,fg3m_transition_75,pct_fg3a_uncontested,fg3_pct
203493,Reggie Bullock Jr.,33.0,884,44,9.5,2023-24,Guard-Forward,2.2907239819004523,5.684389140271493,1.3574660633484164,3.478506787330317,0.0,0.0,0.0,0.0,0.6119402985074628,0.40298507462686567
203496,Robert Covington,33.0,998,29,16.8,2023-24,Forward,1.4278557114228458,4.208416833667335,0.8266533066132264,1.8036072144288577,0.45090180360721444,0.0,0.0,0.0,0.42857142857142855,0.3392857142857143
203497,Rudy Gobert,32.0,5248,76,34.1,2023-24,Center,0.0,0.028582317073170733,0.0,0.042873475609756094,0.0,0.0,0.0,0.0,1.4999999999999998,0.0
203501,Tim Hardaway Jr.,32.0,4516,79,26.8,2023-24,Guard-Forward,3.5042072630646586,9.864924712134632,1.361824623560673,3.205270150575731,1.7437998228520815,0.6809123117803365,0.3653675819309123,0.0,0.32491582491582494,0.35521885521885516
203507,Giannis Antetokounmpo,29.0,5451,73,35.2,2023-24,Forward,0.46780407264722074,1.6923500275178867,0.4127682993946065,1.4171711612548157,0.0,0.01375894331315355,0.15134837644468907,0.06879471656576774,0.8373983739837398,0.2764227642276423
203552,Seth Curry,33.0,1301,44,14.0,2023-24,Guard,2.1906225980015375,6.168332052267487,1.2106072252113758,2.8823981552651805,0.749423520368947,0.34588777863182163,0.05764796310530361,0.34588777863182163,0.46728971962616817,0.3551401869158879
203648,Thanasis Antetokounmpo,31.0,330,34,4.6,2023-24,Forward,0.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203897,Zach LaVine,29.0,1780,25,34.9,2023-24,Guard-Forward,2.4859550561797756,7.120786516853933,0.7584269662921348,2.2331460674157304,0.7584269662921348,0.3370786516853933,0.9691011235955056,0.3370786516853933,0.3136094674556213,0.349112426035503
203903,Jordan Clarkson,32.0,3537,55,30.6,2023-24,Guard,1.9508057675996606,6.40373197625106,0.7633587786259542,2.4173027989821882,0.551314673452078,0.48770144189991516,0.5301102629346904,0.3180661577608142,0.37748344370860926,0.304635761589404
203914,Gary Harris,29.0,2664,54,24.0,2023-24,Guard,2.1396396396396398,5.743243243243243,1.2105855855855856,2.7871621621621623,1.1824324324324322,0.42229729729729726,0.11261261261261261,0.42229729729729726,0.4852941176470589,0.3725490196078432
203915,Spencer Dinwiddie,31.0,4503,76,28.3,2023-24,Guard,2.0652898067954695,6.095936042638241,0.866089273817455,2.1818787475016657,0.39973351099267157,0.0,0.4330446369087275,0.3331112591605596,0.35792349726775957,0.3387978142076502
203924,Jerami Grant,30.0,3751,54,33.9,2023-24,Forward,2.21940815782458,5.518528392428686,0.7997867235403893,1.5995734470807785,1.639562783257798,0.27992535323913625,0.0,0.0,0.2898550724637681,0.40217391304347827
203925,Joe Harris,32.0,371,16,10.6,2023-24,Guard-Forward,2.0215633423180592,6.064690026954177,1.2129380053908356,2.4258760107816713,1.0107816711590296,0.0,0.0,0.0,0.4000000000000001,0.33333333333333337
203926,Doug McDermott,32.0,1970,64,14.1,2023-24,Forward,3.578680203045685,8.718274111675127,1.7131979695431472,3.8071065989847717,0.34263959390862947,0.9898477157360406,0.0,0.6472081218274112,0.4366812227074236,0.4104803493449781
203932,Aaron Gordon,28.0,4697,73,31.5,2023-24,Forward,0.6387055567383436,2.187566531828827,0.5428997232275921,1.6925697253566108,0.351288056206089,0.06387055567383436,0.06387055567383436,0.1437087502661273,0.7737226277372263,0.291970802919708
203933,T.J. Warren,30.0,274,11,11.3,2023-24,Forward,0.5474452554744526,3.5583941605839415,0.2737226277372263,1.916058394160584,0.0,0.0,0.0,0.0,0.5384615384615384,0.15384615384615385
203935,Marcus Smart,30.0,1289,20,30.2,2023-24,Guard,2.443754848719938,7.680372381691233,1.6291698991466255,4.596586501163692,0.0,0.05818463925523662,0.29092319627618307,0.5818463925523661,0.5984848484848485,0.31818181818181823
203937,Kyle Anderson,30.0,3701,79,22.6,2023-24,Forward-Guard,0.22291272629019185,0.9524452850580923,0.2026479329910835,0.7903269386652256,0.14185355309375844,0.0,0.0,0.0,0.8297872340425533,0.2340425531914894
203939,Dwight Powell,32.0,1786,63,13.3,2023-24,Forward-Center,0.041993281075028,0.125979843225084,0.041993281075028,0.125979843225084,0.0,0.0,0.0,0.0,1.0,0.33333333333333337
203944,Julius Randle,29.0,3364,46,35.4,2023-24,Forward-Center,1.694411414982164,5.439952437574316,0.557372175980975,1.8281807372175982,0.8026159334126041,0.31212841854934603,0.267538644470868,0.267538644470868,0.33606557377049184,0.3114754098360656
203952,Andrew Wiggins,29.0,4042,71,27.0,2023-24,Forward,1.6885205343889162,4.694458189015339,0.834982681840673,2.3193963384463134,1.09475507174666,0.24121721919841663,0.1855517070757051,0.1484413656605641,0.49407114624505916,0.3596837944664031
